epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,16496.6,0.79793,0.74611,1.24793,0.67328,0.69155,0.70538,0.54111,0.74575,0.65507,1.12549,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,16678.3,0.7977,0.74696,1.24755,0.65457,0.70986,0.69843,0.53286,0.74541,0.661,1.12898,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,16860.6,0.78744,0.72783,1.24757,0.72512,0.68637,0.70961,0.54612,0.73845,0.65485,1.12181,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,17043.1,0.77669,0.7179,1.23279,0.71816,0.69145,0.7001,0.53866,0.74097,0.64361,1.12892,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,17222.8,0.78481,0.71769,1.23948,0.7148,0.69077,0.70625,0.5387,0.74591,0.66186,1.12763,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,17404.3,0.78651,0.73005,1.24061,0.69748,0.7002,0.71437,0.55088,0.73076,0.64196,1.11239,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,17585.2,0.78219,0.72736,1.23532,0.73093,0.69489,0.70009,0.54155,0.72901,0.63656,1.11326,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,17766.2,0.77265,0.73335,1.23007,0.74273,0.6873,0.7039,0.53855,0.73304,0.65911,1.11524,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,17947.7,0.77189,0.69684,1.22618,0.7387,0.66645,0.70576,0.54871,0.73356,0.65548,1.11695,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,18129.6,0.76983,0.71393,1.2314,0.74457,0.68144,0.70194,0.54118,0.73569,0.66165,1.12493,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,18403.8,0.77116,0.69958,1.22168,0.72376,0.7031,0.70784,0.54715,0.72755,0.64859,1.11316,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,18610,0.77163,0.70114,1.22594,0.71782,0.70095,0.72071,0.55413,0.71471,0.62476,1.09837,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,18815.3,0.77319,0.70064,1.23055,0.66888,0.71501,0.71574,0.54832,0.72085,0.6445,1.10231,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,19021.4,0.76885,0.7131,1.23226,0.76071,0.67486,0.72856,0.55793,0.72505,0.63389,1.10696,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,19226.4,0.75797,0.68139,1.21682,0.71691,0.69044,0.71183,0.55015,0.72857,0.63489,1.11029,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,19436.7,0.76337,0.69269,1.22279,0.71404,0.72711,0.72916,0.55936,0.72166,0.62018,1.10915,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,19635.3,0.75566,0.68791,1.22039,0.68865,0.73487,0.7192,0.5493,0.72468,0.63672,1.10882,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,19824.7,0.75257,0.68233,1.21737,0.73027,0.68353,0.71918,0.55571,0.72521,0.63979,1.11634,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,20011.2,0.74513,0.66445,1.21851,0.69776,0.69794,0.71898,0.5512,0.72955,0.63373,1.11674,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,20197.7,0.75109,0.66941,1.20963,0.7275,0.70201,0.71551,0.55646,0.72215,0.63142,1.11289,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,20382.7,0.74119,0.6707,1.21234,0.74048,0.70819,0.72718,0.55894,0.71983,0.63705,1.10711,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,20568.2,0.74174,0.66298,1.21068,0.70314,0.70811,0.7123,0.55358,0.72061,0.64007,1.10774,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,20752.9,0.73814,0.66296,1.20346,0.75529,0.66001,0.71036,0.54503,0.7305,0.64496,1.12333,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,20938.9,0.74715,0.6517,1.21202,0.7358,0.68646,0.70837,0.54874,0.72771,0.64102,1.12053,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,21123.3,0.743,0.64923,1.20614,0.76885,0.65609,0.71403,0.55316,0.72554,0.64775,1.11653,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,21309,0.73854,0.6497,1.20456,0.73479,0.68305,0.71504,0.55518,0.72794,0.6405,1.1173,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,21495.2,0.73396,0.64224,1.20451,0.72792,0.67266,0.72637,0.565,0.71741,0.63187,1.11067,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,21681.1,0.71615,0.61847,1.19202,0.74499,0.69333,0.73322,0.56931,0.72038,0.62878,1.1148,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,21866.3,0.73591,0.65823,1.20517,0.7632,0.6755,0.73373,0.5665,0.72431,0.63072,1.11664,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,22052.5,0.72309,0.63686,1.19162,0.69801,0.73098,0.73702,0.57391,0.72047,0.62935,1.10738,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,22239.1,0.73767,0.63454,1.19932,0.79324,0.66602,0.73597,0.57143,0.71811,0.62082,1.10864,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,22425.2,0.73842,0.6472,1.20206,0.74665,0.69135,0.7202,0.56753,0.71364,0.62222,1.10379,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
